EdgeCoin,6339,SHA-256,PoW/HiPoS
BitLux,6341,X11,PoW/PoS
FutCoin,6343,X13,PoW/PoS
Global,6393,N/A,PoS
TamaGucci,6411,Scrypt,PoW/PoS/PoC
MorpheusCoin,6412,X11,PoW
Creva Coin,6451,X11,N/A
BananaBits,6453,Scrypt,PoW/PoS
Cerium,6455,SHA-256,PoW/PoS
Anarchists Prime,6476,SHA-256,PoW
Droidz,7480,QUAIT,PoW/PoS
BowsCoin,7482,X11,PoW
DarkTron,7483,SHA-256,PoW/PoS
CryptoCircuits,7484,vDPOS,PoS
IncaKoin,7559,SHA-256,PoW/PoS
Versa Token,7562,N/A,PoS
Empyrean,7564,Scrypt,PoW
Squall Coin,7565,X11,PoS/PoW
Piggy Coin,7577,X11,PoW/PoS
Charity Coin,7580,Scrypt,PoW
Milllionaire Coin,7581,X11,PoW/PoS
Crown Coin,7586,Multiple,PoS
PharmaCoin,7590,N/A,N/A
GridMaster,7592,N/A,N/A
Quartz,7595,SHA-256,PoW/PoS
Arbit Coin,7599,SHA-256,PoW/PoS
Litestar Coin,7600,X11,PoW/PoS
SpinCoin,7624,NIST5,PoW/PoS
GoldPieces,7625,X11,PoW/PoS
Bitz Coin,7626,N/A,PoS
DubCoin,7627,X15,PoW/PoS
Graviton,7634,SHA-256,PoW/PoS
Bob's Repair,7635,N/A,N/A
MonetaVerde,7636,CryptoNight,PoW
Quazar Coin,7650,CryptoNight,PoW
Hedgecoin,7653,X13,PoW
Song Coin,8682,Scrypt,PoW
BitSeeds,8683,SHA-256,PoW/PoS
Axiom Coin,8693,N/A,PoW/PoS
SmileyCoin,8694,Scrypt,PoW
Rimbit,8695,N/A,N/A
Chip,8696,X11,PoW
SpecCoin,8716,Scrypt,PoW
UnCoin,8760,X11,N/A
Sprouts,8761,SHA-256,PoW/PoS
BitZeny,8762,Scrypt,PoW
BitQuark,8763,Multiple,PoW
ParkByte,8764,SHA-256,PoW/PoS
Synergy,8825,X11,PoW/PoS
Ghoul Coin,8832,N/A,PoW/PoS
Hellenic Coin,8846,Scrypt,PoW/PoS
Diggits,12192,Scrypt,PoS
Global Currency Reserve,12217,PoS,PoS
MapCoin,12223,X11,PoS
XiaoMiCoin,12225,Scrypt,PoW/PoS
Transfer,13045,X11,PoW/PoS
CleverCoin,13074,N/A,PoS/PoW
LyraBar,13281,Lyra2RE,PoW/PoS
Prime-X1,15274,X11,PoW
Amsterdam Coin,15284,Quark,PoW/PoS
Obits Coin,15323,N/A,N/A
Emercoin,15876,SHA-256,PoW/PoS
BlitzCoin,15879,X13,PoS
BitHIRE,15882,Scrypt,PoS
EverGreenCoin,15885,X15,PoW/PoS
MindCoin,15888,X11,PoW
I0coin,16123,SHA-256,PoW
Bata,16125,Scrypt,PoW
Nas2Coin,16717,N/A,PoS
Pakcoin,17006,Scrypt,PoW
DogeCoinDark,17549,Scrypt,PoW
OKCash,17857,SHA-256,PoW/PoS
Revolution VR,18180,Scrypt,PoW
HyperSpace,18244,N/A,Pow/PoSC
HOdlcoin,18670,1GB AES Pattern Search,PoW
Digix DAO,18907,N/A,N/A
EDRCoin,19051,SHA-256,PoW/PoS
Hitcoin,20153,X11,PoW/PoS
Dashcoin,20196,CryptoNight,PoW
DubaiCoin,20198,SHA-256,PoW/PoS
HiCoin,20202,Scrypt,PoS
BiosCrypto,20209,Quark,PoW/PoS
CabbageUnit,20212,N/A,PoS
GameBetCoin,20214,POS 3.0,PoS
RedCrowCoin,20218,Scrypt,PoW/PoS
PWR Coin,20236,NIST5,PoW/PoS
TrumpCoin,20270,Blake,PoS
PrismChain,20304,SHA-256,PoW/PoS
BitCrystals,20315,Counterparty,N/A
Rubies,20320,N/A,PoS
BillaryCoin,20336,Scrypt,PoW/PoS
Dotcoin,20339,Scrypt,PoW
Scotcoin,20342,Counterparty,N/A
Thecreed,20441,QuBit,PoW/PoS
PostCoin,20444,N/A,PoS
